classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler
SVC,0.9976331360946745,0.9945487583282859,0.9969641772920461,0.9957550030321407,0.9974277306329021,0.9919897468760013,0.0,0.0,0.0,0.49710982658959535,0.0,0.0,SD,SVMSMOTE
LogisticReg,0.6911902530459232,0.7011503697617091,0.6664323648859731,0.6833506847121006,0.6911902530459232,0.6036526754245434,0.0016207455429497568,0.2857142857142857,0.0032232070910556,0.44504082943389295,0.0,0.0,SD,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9942326177507209,0.0,0.0,0.0,0.49823378291586384,0.0,0.0,SD,RandomOverSampler
RandomForest,0.9367775695095283,0.8877487346599182,1.0,0.9405369669813053,0.9367775695095283,0.8827298942646588,0.002770083102493075,0.14285714285714285,0.005434782608695652,0.5136251032204789,0.0,0.0,SD,RandomOverSampler
LightGBM,0.9390424867228991,0.8913331012878524,1.0,0.9425448121020281,0.939042486722899,0.8305030438961871,0.005681818181818182,0.42857142857142855,0.011214953271028038,0.6299889898155795,0.0,0.0,SD,RandomOverSampler
SVC,0.9952749140893471,0.9906382978723405,1.0,0.9952971355280035,0.9952749140893471,0.9810958026273631,0.0,0.0,0.0,0.49165061014772,0.0,0.0,SD,RandomOverSampler
LogisticReg,0.9910960834037758,0.9751639181402741,0.9933211900425015,0.9841588129135753,0.9917793079234688,0.9859019545017622,0.0,0.0,0.0,0.4940590879897238,0.0,0.0,RB,SVMSMOTE
DecisionTree,0.9364891518737672,0.8169880319148937,0.9947379073062134,0.8971433786620425,0.9543745768958434,0.8673502082665813,0.004866180048661801,0.2857142857142857,0.009569377990430623,0.577185980365171,0.0,0.0,RB,SVMSMOTE
RandomForest,0.9172161172161172,0.7729559748427673,0.9949402954867436,0.8700115034067782,0.9410815191897949,0.7827619352771548,0.002962962962962963,0.2857142857142857,0.005865102639296188,0.5347967703459032,0.0,0.0,RB,SVMSMOTE
LightGBM,0.980276134122288,0.9386585132811007,0.9941307427646225,0.9655985846274818,0.9845302261152072,0.9605895546299263,0.00847457627118644,0.14285714285714285,0.015999999999999997,0.5526424442609413,0.0,0.0,RB,SVMSMOTE
SVC,0.4011834319526627,0.31733179101600156,0.9993928354584092,0.4817091015510682,0.584865115011304,0.18039090035245114,0.0023410066328521262,0.8571428571428571,0.004669260700389105,0.518006239104505,0.0,0.0,RB,SVMSMOTE
LogisticReg,0.6913464542330522,0.7013808975834293,0.6664323648859731,0.6834601521826191,0.6913464542330522,0.6036526754245434,0.0016207455429497568,0.2857142857142857,0.0032232070910556,0.44504082943389295,0.0,0.0,RB,RandomOverSampler
DecisionTree,1.0,1.0,1.0,1.0,1.0,0.9942326177507209,0.0,0.0,0.0,0.49823378291586384,0.0,0.0,RB,RandomOverSampler
RandomForest,0.9367775695095283,0.8877487346599182,1.0,0.9405369669813053,0.9367775695095283,0.8827298942646588,0.002770083102493075,0.14285714285714285,0.005434782608695652,0.5136251032204789,0.0,0.0,RB,RandomOverSampler
LightGBM,0.9390815370196813,0.8913951545530493,1.0,0.9425795053003534,0.9390815370196813,0.8301826337712271,0.005671077504725898,0.42857142857142855,0.01119402985074627,0.6298284246261125,0.0,0.0,RB,RandomOverSampler
SVC,0.5674008122461731,0.5361360020098819,1.0,0.6980319467916916,0.5674008122461731,0.13745594360781802,0.002224694104560623,0.8571428571428571,0.004437869822485207,0.4964905037159373,0.0,0.0,RB,RandomOverSampler
LogisticReg,0.938123415046492,0.8943156166632464,0.8820076907508602,0.8881190136539636,0.9208929425325685,0.9599487343800064,0.0,0.0,0.0,0.481053307642903,1.0,0.0,None,SVMSMOTE
DecisionTree,0.873541842772612,0.6891569645111516,0.9943331309451529,0.8140845070422535,0.9106311078030982,0.8305030438961871,0.0019083969465648854,0.14285714285714285,0.0037664783427495286,0.48745297733737036,1.0,0.0,None,SVMSMOTE
RandomForest,0.9876584953508031,0.9633045525902669,0.9935235782230317,0.9781807312942113,0.9894593836132343,0.9775712912528036,0.0,0.0,0.0,0.48988439306358383,1.0,0.0,None,SVMSMOTE
LightGBM,0.9487743026204565,0.8484272381610785,0.9935235782230317,0.9152605574718001,0.9625146788334779,0.9179750080102531,0.00398406374501992,0.14285714285714285,0.007751937984496123,0.5312872740618405,1.0,0.0,None,SVMSMOTE
SVC,0.8562411947027332,0.6606614681365959,0.994535519125683,0.793925195896276,0.8987048104844284,0.8026273630246715,0.0032626427406199023,0.2857142857142857,0.006451612903225807,0.5447518120928525,1.0,0.0,None,SVMSMOTE
LogisticReg,0.6101999375195252,0.5987541993281075,0.6681505779443924,0.631551749593976,0.6101999375195252,0.5450176225568728,0.0021141649048625794,0.42857142857142855,0.004207573632538569,0.48692540600055056,1.0,0.0,None,RandomOverSampler
DecisionTree,0.9998828491096532,0.9997657531037714,1.0,0.9998828628323767,0.9998828491096533,0.9939122076257609,0.0,0.0,0.0,0.4980732177263969,1.0,0.0,None,RandomOverSampler
