class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
1,0,0,None,ADASYN,LogisticReg,0.5005073764733432,0.5003903810118676,1.0,0.6670135817245147,0.5002343017806936,0.00256328099967959,0.0022435897435897434,1.0,0.004477134633834346,0.5001605651894669
1,0,0,None,ADASYN,DecisionTree,0.5806338303020842,0.5439921904842748,0.999921984709003,0.7046372907446604,0.5804046037259478,0.15956424223005447,0.00228310502283105,0.8571428571428571,0.004554079696394687,0.5075695017891549
1,0,0,None,ADASYN,RandomForest,0.6047146983061431,0.5586158807635317,1.0,0.7168102002013197,0.6044985941893158,0.21050945209868632,0.002026753141467369,0.7142857142857143,0.0040420371867421175,0.4618313606752913
1,0,0,None,ADASYN,LightGBM,0.8058699555069861,0.7205353126405758,0.9996879388360118,0.837461603816744,0.8057639944101959,0.5978852931752643,0.001597444089456869,0.2857142857142857,0.0031771247021445586,0.4421506560234884
1,0,0,None,ADASYN,SVC,0.6068612910779798,0.6523814810702787,0.45841784989858014,0.5384650630011455,0.606942445724048,0.7558474847805191,0.002635046113306983,0.2857142857142857,0.005221932114882507,0.5213092944306816
1,0,0,MM,SMOTE,LogisticReg,0.5690409247110279,0.5370836479570433,0.9999218994064355,0.6988155668358714,0.5690409247110277,0.174943928228132,0.002325581395348837,0.8571428571428571,0.00463857750289911,0.5152766308835673
1,0,0,MM,SMOTE,DecisionTree,0.5804045610746642,0.5437210685012953,0.9999218994064355,0.7044097823993838,0.5804045610746642,0.15956424223005447,0.00228310502283105,0.8571428571428571,0.004554079696394687,0.5075695017891549
1,0,0,MM,SMOTE,RandomForest,0.618283348953452,0.5670756012223748,1.0,0.7237373880111918,0.618283348953452,0.23357898109580263,0.0020876826722338203,0.7142857142857143,0.004163197335553705,0.47339205431690984
1,0,0,MM,SMOTE,LightGBM,0.8008044361137144,0.715155577900676,0.999843798812871,0.8338707050968899,0.8008044361137143,0.5764178148029477,0.0007593014426727411,0.14285714285714285,0.0015105740181268882,0.3601247820901
1,0,0,MM,SMOTE,SVC,0.9634879725085911,0.9408662060768145,0.989144017494533,0.964401294498382,0.9634879725085911,0.9455302787568087,0.0,0.0,0.0,0.4738278741168915
1,0,0,MM,ADASYN,LogisticReg,0.5690812582936539,0.537242737980467,0.999921984709003,0.6989502385821404,0.5688457158784003,0.17590515860301187,0.002328288707799767,0.8571428571428571,0.0046439628482972135,0.5157583264519681
1,0,0,MM,ADASYN,DecisionTree,0.5806338303020842,0.5439921904842748,0.999921984709003,0.7046372907446604,0.5804046037259478,0.15956424223005447,0.00228310502283105,0.8571428571428571,0.004554079696394687,0.5075695017891549
1,0,0,MM,ADASYN,RandomForest,0.6047146983061431,0.5586158807635317,1.0,0.7168102002013197,0.6044985941893158,0.21050945209868632,0.002026753141467369,0.7142857142857143,0.0040420371867421175,0.4618313606752913
1,0,0,MM,ADASYN,LightGBM,0.8058699555069861,0.7205353126405758,0.9996879388360118,0.837461603816744,0.8057639944101959,0.5978852931752643,0.001597444089456869,0.2857142857142857,0.0031771247021445586,0.4421506560234884
