,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
0,1,1,None,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9974367190003204,0.0,0.0,0.0,0.49983943481053306
1,1,1,None,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
2,1,1,None,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
3,1,1,None,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
4,1,1,None,BdlSMOTE,SVC,0.9982817869415808,0.9989052236471693,0.9976569821930646,0.9982807127227259,0.9982817869415808,0.9958346683755207,0.0,0.0,0.0,0.49903660886319845
5,1,1,MM,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
6,1,1,MM,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
7,1,1,MM,BdlSMOTE,RandomForest,0.813573883161512,0.7287227982226273,0.9990627928772259,0.8427432637196126,0.8135738831615121,0.4428067926946492,0.0034403669724770644,0.8571428571428571,0.006853226727584238,0.6495091292779154
8,1,1,MM,BdlSMOTE,LightGBM,0.9602858481724461,0.9281511078823103,0.9978131833801936,0.9617223079528774,0.960285848172446,0.8760012816404998,0.002617801047120419,0.14285714285714285,0.0051413881748071984,0.5102532342416735
9,1,1,MM,BdlSMOTE,SVC,0.999843798812871,1.0,0.999687597625742,0.9998437744102484,0.999843798812871,0.9961550785004806,0.0,0.0,0.0,0.4991971740526654
10,1,1,SD,BdlSMOTE,LogisticReg,0.9986722899094033,1.0,0.9973445798188066,0.9986705247517009,0.9986722899094034,0.9977571291252804,0.0,0.0,0.0,0.5
11,1,1,SD,BdlSMOTE,DecisionTree,0.864456419868791,0.7876117103235747,0.9980474851608873,0.8804299149126736,0.864456419868791,0.7109900672861262,0.003329633740288568,0.42857142857142855,0.006607929515418502,0.5700981741444169
