,class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
0,1,1,1,None,BdlSMOTE,LogisticReg,0.8431349578256795,0.761502291530266,0.9992189940643549,0.8643134605640937,0.8431349578256793,0.6142262095482217,0.0033195020746887966,0.5714285714285714,0.006600660066006601,0.5928754931645105
1,1,1,1,None,BdlSMOTE,DecisionTree,0.7862386754139331,0.7008439281017098,0.9988284910965324,0.8237150586113616,0.7862386754139331,0.5796219160525473,0.002288329519450801,0.42857142857142855,0.004552352048558422,0.5042664464629782
2,1,1,1,None,BdlSMOTE,RandomForest,0.8960090596688535,0.8282089455628197,0.9992970946579194,0.9057445227055534,0.8960090596688535,0.700096123037488,0.004268943436499467,0.5714285714285714,0.008474576271186442,0.635906963941646
3,1,1,1,None,BdlSMOTE,LightGBM,0.9090909090909091,0.8464285714285714,0.9995313964386129,0.9166308551783412,0.9090909090909091,0.7571291252803588,0.003963011889035667,0.42857142857142855,0.007853403141361256,0.593219561427654
4,1,1,1,None,BdlSMOTE,SVC,0.5695095282724149,0.5373541509275581,0.9999218994064355,0.699044499044499,0.5695095282724149,0.13777635373277797,0.002225519287833828,0.8571428571428571,0.004439511653718091,0.49665106890540417
5,1,1,1,MM,BdlSMOTE,LogisticReg,0.8410262417994376,0.7590625927024621,0.9992189940643549,0.8627398091641659,0.8410262417994376,0.6103812880487023,0.003286770747740345,0.5714285714285714,0.006535947712418301,0.5909487108909074
6,1,1,1,MM,BdlSMOTE,DecisionTree,0.7862386754139331,0.7008439281017098,0.9988284910965324,0.8237150586113616,0.7862386754139331,0.5796219160525473,0.002288329519450801,0.42857142857142855,0.004552352048558422,0.5042664464629782
7,1,1,1,MM,BdlSMOTE,RandomForest,0.8960090596688535,0.8282089455628197,0.9992970946579194,0.9057445227055534,0.8960090596688535,0.700096123037488,0.004268943436499467,0.5714285714285714,0.008474576271186442,0.635906963941646
8,1,1,1,MM,BdlSMOTE,LightGBM,0.9090909090909091,0.8464285714285714,0.9995313964386129,0.9166308551783412,0.9090909090909091,0.7571291252803588,0.003963011889035667,0.42857142857142855,0.007853403141361256,0.593219561427654
9,1,1,1,MM,BdlSMOTE,SVC,0.9987503905029679,1.0,0.9975007810059356,0.9987488270253363,0.9987503905029678,0.9977571291252804,0.0,0.0,0.0,0.5
10,1,1,1,SD,BdlSMOTE,LogisticReg,0.9065526398000625,0.8429860973841998,0.9992189940643549,0.9144776812837282,0.9065526398000624,0.7382249279077219,0.002457002457002457,0.2857142857142857,0.0048721071863581,0.5124782090100009
11,1,1,1,SD,BdlSMOTE,DecisionTree,0.7862386754139331,0.7008439281017098,0.9988284910965324,0.8237150586113616,0.7862386754139331,0.5796219160525473,0.002288329519450801,0.42857142857142855,0.004552352048558422,0.5042664464629782
12,1,1,1,SD,BdlSMOTE,RandomForest,0.8960090596688535,0.8282089455628197,0.9992970946579194,0.9057445227055534,0.8960090596688535,0.700096123037488,0.004268943436499467,0.5714285714285714,0.008474576271186442,0.635906963941646
13,1,1,1,SD,BdlSMOTE,LightGBM,0.9090909090909091,0.8464285714285714,0.9995313964386129,0.9166308551783412,0.9090909090909091,0.7571291252803588,0.003963011889035667,0.42857142857142855,0.007853403141361256,0.593219561427654
14,1,1,1,SD,BdlSMOTE,SVC,0.9987894407997501,1.0,0.9975788815995001,0.9987879735700043,0.9987894407997501,0.9974367190003204,0.0,0.0,0.0,0.49983943481053306
15,1,1,1,SD,BdlSMOTE,LogisticReg,0.9065526398000625,0.8429860973841998,0.9992189940643549,0.9144776812837282,0.9065526398000624,0.7382249279077219,0.002457002457002457,0.2857142857142857,0.0048721071863581,0.5124782090100009
16,1,1,1,SD,BdlSMOTE,DecisionTree,0.7862386754139331,0.7008439281017098,0.9988284910965324,0.8237150586113616,0.7862386754139331,0.5796219160525473,0.002288329519450801,0.42857142857142855,0.004552352048558422,0.5042664464629782
